msoa,mode,time,area_m2,area_deg2
E02001786,CAR,15minutes,144455760.950952,0.0034425750000000757
E02001787,CAR,15minutes,423827363.1685595,0.010117115000000058
E02001788,CAR,15minutes,256677276.40167478,0.006122710000000059
E02001789,CAR,15minutes,187725701.48213676,0.004476054999999995
E02001790,CAR,15minutes,284305289.7703996,0.0067839899999999785
E02001791,CAR,15minutes,156752297.11152616,0.0037399449999999702
E02001792,CAR,15minutes,113019473.69094822,0.002696815
E02001793,CAR,15minutes,256432184.6145806,0.006124369999999987
E02001794,CAR,15minutes,213402324.04343855,0.005098064999999956
E02001795,CAR,15minutes,148183251.36534745,0.0035380250000000744
E02001796,CAR,15minutes,96495211.89803007,0.0023044000000000224
E02001797,CAR,15minutes,354872372.5544134,0.008481604999999934
E02001798,CAR,15minutes,430716795.0694869,0.010292515000000151
E02001799,CAR,15minutes,493792915.4482164,0.01180314000000001
E02001800,CAR,15minutes,688064132.8501315,0.01645568000000002
E02001801,CAR,15minutes,183075526.9886589,0.004376294999999948
E02001802,CAR,15minutes,215822771.2135092,0.005160855000000007
E02001803,CAR,15minutes,178845461.80363524,0.004275710000000024
E02001804,CAR,15minutes,405174963.32100856,0.009690970000000097
E02001805,CAR,15minutes,302777383.5027126,0.007241819999999927
E02001806,CAR,15minutes,114782075.80180195,0.002745514999999939
E02001807,CAR,15minutes,761671564.9912275,0.018218139999999914
E02001808,CAR,15minutes,184274142.72162387,0.0044070800000000345
E02001809,CAR,15minutes,415143264.7260548,0.009928164999999968
E02001810,CAR,15minutes,534894246.82949764,0.012792474999999921
E02001811,CAR,15minutes,852110697.9389349,0.020390304999999904
E02001812,CAR,15minutes,209114138.16438738,0.005004859999999986
E02001813,CAR,15minutes,286360890.1927248,0.006851125000000022
E02001814,CAR,15minutes,185581057.7291495,0.0044423699999999655
E02001815,CAR,15minutes,656595689.5647713,0.015709615000000135
E02001816,CAR,15minutes,190422129.20820147,0.004559264999999984
E02001817,CAR,15minutes,256851975.53223187,0.006152504999999965
E02001818,CAR,15minutes,308722317.452917,0.007398844999999973
E02001819,CAR,15minutes,310929779.01756907,0.007446585000000018
E02001820,CAR,15minutes,523135664.06591505,0.012519025000000029
E02001821,CAR,15minutes,194557726.01808032,0.0046613450000000025
E02001822,CAR,15minutes,489358756.87286246,0.01171652500000009
E02001823,CAR,15minutes,276227675.10087,0.0066277449999999115
E02001824,CAR,15minutes,322432501.15691084,0.0077368149999999265
E02001825,CAR,15minutes,169859404.1278925,0.004078705000000021
E02001826,CAR,15minutes,277934266.4269119,0.0066795050000000265
E02002183,CAR,15minutes,302961892.3470535,0.007631975000000124
E02002184,CAR,15minutes,220324416.2104251,0.005553775000000047
E02002185,CAR,15minutes,177087723.92235625,0.004469819999999957
E02002186,CAR,15minutes,301276884.52582216,0.007603654999999977
E02002187,CAR,15minutes,219377751.47881284,0.00554306500000007
E02002188,CAR,15minutes,125744258.51816821,0.0031796699999999192
E02002189,CAR,15minutes,223918855.93343416,0.005662964999999969
E02002190,CAR,15minutes,289361430.74950737,0.007319929999999873
E02002191,CAR,15minutes,172822640.0674521,0.0043729500000000456
E02002192,CAR,15minutes,178833492.9430656,0.0045260550000000704
E02002193,CAR,15minutes,239448514.63542798,0.006063460000000024
E02002194,CAR,15minutes,154319493.92344475,0.0039081800000000215
E02002195,CAR,15minutes,156382648.07743993,0.003955559999999928
E02002196,CAR,15minutes,190118184.87901154,0.004815735000000053
E02002197,CAR,15minutes,230540430.86482075,0.005838030000000031
E02002198,CAR,15minutes,131362466.6718768,0.003325070000000028
E02002199,CAR,15minutes,109897099.14957725,0.0027844449999999614
E02002200,CAR,15minutes,149919175.00621802,0.0037989849999999488
E02002201,CAR,15minutes,123674512.55130094,0.003133799999999945
E02002202,CAR,15minutes,143400859.93363187,0.0036347649999999756
E02002203,CAR,15minutes,117582397.99955511,0.00298042499999998
E02002204,CAR,15minutes,155267890.16636318,0.003936369999999977
E02002205,CAR,15minutes,227620271.17158043,0.005773044999999979
E02002206,CAR,15minutes,126285293.06960014,0.003201525000000015
E02002207,CAR,15minutes,138965843.63672477,0.0035237150000000063
E02002208,CAR,15minutes,138610419.91305268,0.0035136999999999855
E02002209,CAR,15minutes,125472799.37128124,0.0031803550000000257
E02002210,CAR,15minutes,129032151.65079844,0.0032728400000000065
E02002211,CAR,15minutes,185483272.6494855,0.004705269999999947
E02002212,CAR,15minutes,193107481.56982148,0.004899009999999984
E02002213,CAR,15minutes,243268316.0320151,0.006172924999999976
E02002214,CAR,15minutes,161867193.94055915,0.0041052599999999925
E02002215,CAR,15minutes,182657988.71857032,0.0046343199999999895
E02002216,CAR,15minutes,173394617.97159386,0.004399260000000004
E02002217,CAR,15minutes,121301550.06377776,0.003077384999999999
E02002218,CAR,15minutes,236601029.31804264,0.006005504999999967
E02002219,CAR,15minutes,174925690.19576007,0.004439730000000012
E02002220,CAR,15minutes,204384766.6933472,0.00518546499999997
E02002221,CAR,15minutes,160292643.31617954,0.004068364999999997
E02002222,CAR,15minutes,201888439.609237,0.005125609999999978
E02002223,CAR,15minutes,169425835.76133573,0.004300874999999997
E02002224,CAR,15minutes,120695887.09418894,0.003063819999999986
E02002225,CAR,15minutes,916344.5107072816,2.3274999999997306e-05
E02002226,CAR,15minutes,148854857.82858744,0.0037811549999999636
E02002227,CAR,15minutes,161427664.01138303,0.004100859999999973
E02002228,CAR,15minutes,128412117.28239971,0.0032617650000000054
E02002229,CAR,15minutes,157421526.9433799,0.004000829999999955
E02002230,CAR,15minutes,176428613.19451204,0.004484860000000072
